Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.115943,0.094853,0.591830,0.005665,0.021455,0.034331,0.123105,0.000135,0.012249,0.000432
2,0.174746,0.040021,0.283007,0.038266,0.029120,0.046461,0.049466,0.029762,0.298672,0.010478
3,0.685289,0.027931,0.000463,0.000842,0.040201,0.010590,0.065336,0.110414,0.000001,0.058933
4,0.959406,0.031708,0.001137,0.000002,0.002628,0.000037,0.001199,0.001626,0.002003,0.000254
5,0.909656,0.005595,0.000918,0.002911,0.002948,0.052360,0.012748,0.010036,0.001987,0.000841
6,0.569423,0.001970,0.002567,0.011841,0.166794,0.166867,0.043361,0.034921,0.000005,0.002252
7,0.146458,0.022483,0.004034,0.048315,0.208172,0.074876,0.039658,0.002968,0.435223,0.017813
8,0.917588,0.011138,0.000416,0.002729,0.014596,0.003929,0.007163,0.033036,0.000001,0.009404
9,0.948442,0.000311,0.001696,0.000579,0.032828,0.005681,0.008458,0.001981,0.000020,0.000005
10,0.350652,0.373946,0.007448,0.002400,0.004755,0.000790,0.001917,0.173803,0.081205,0.003084
11,0.764368,0.012668,0.005079,0.000342,0.034717,0.136963,0.039517,0.006278,0.000002,0.000067
12,0.263177,0.215596,0.014950,0.238053,0.182925,0.007542,0.022544,0.015917,0.000000,0.039296
13,0.961953,0.014355,0.003287,0.000753,0.003236,0.012423,0.002647,0.000272,0.000148,0.000928
14,0.147609,0.005222,0.004681,0.460973,0.088584,0.001922,0.010285,0.213931,0.008901,0.057891
15,0.532348,0.052168,0.000106,0.311695,0.003985,0.038779,0.060079,0.000208,0.000168,0.000463
16,0.552712,0.067721,0.000945,0.008793,0.059024,0.011921,0.023750,0.270686,0.000006,0.004441
17,0.171659,0.133483,0.041094,0.168310,0.141648,0.213184,0.012170,0.029028,0.071607,0.017817
18,0.985504,0.002059,0.000596,0.000010,0.006994,0.004622,0.000183,0.000031,0.000000,0.000001
19,0.177973,0.010456,0.507979,0.000065,0.003068,0.289361,0.002611,0.008425,0.000013,0.000048
20,0.217898,0.728117,0.002904,0.010119,0.007651,0.002990,0.029848,0.000074,0.000062,0.000337
21,0.333834,0.537641,0.102920,0.000773,0.000456,0.004650,0.018913,0.000005,0.000046,0.000762
22,0.599765,0.002264,0.042914,0.003598,0.050742,0.042155,0.155256,0.067464,0.000036,0.035808
23,0.911328,0.003891,0.017386,0.048064,0.011519,0.002733,0.003379,0.001135,0.000002,0.000562
24,0.657973,0.178290,0.001109,0.020607,0.006486,0.075829,0.049929,0.006386,0.000003,0.003388
25,0.634407,0.110753,0.071004,0.000180,0.002711,0.001551,0.042609,0.136425,0.000105,0.000255
26,0.099921,0.157862,0.090550,0.368786,0.161515,0.014830,0.076424,0.002283,0.005582,0.022247
27,0.056251,0.571630,0.237816,0.020239,0.013410,0.069980,0.018581,0.000054,0.011747,0.000291
28,0.316809,0.000648,0.012897,0.009727,0.029648,0.024110,0.002474,0.568620,0.002117,0.032950
29,0.341868,0.001374,0.003565,0.012750,0.098608,0.103030,0.015410,0.405523,0.014888,0.002983
30,0.910642,0.016870,0.001814,0.000476,0.015702,0.039806,0.004204,0.010364,0.000047,0.000076
31,0.129844,0.057048,0.004235,0.491588,0.007825,0.021054,0.031245,0.010481,0.000241,0.246439
32,0.955908,0.022640,0.002551,0.000338,0.013090,0.000333,0.002073,0.000449,0.000003,0.002615
33,0.686212,0.105964,0.001595,0.000994,0.002973,0.002122,0.134958,0.058564,0.000009,0.006609
34,0.339567,0.009723,0.011223,0.044634,0.251730,0.063313,0.028821,0.099158,0.139589,0.012243
35,0.255734,0.336674,0.003856,0.339357,0.010975,0.008573,0.001865,0.015392,0.000795,0.026778
36,0.057855,0.290528,0.043106,0.035156,0.024101,0.548174,0.000672,0.000167,0.000000,0.000242
37,0.886661,0.015149,0.001987,0.075629,0.005344,0.001581,0.003957,0.006279,0.000000,0.003413
38,0.901143,0.002045,0.003206,0.000013,0.079316,0.008382,0.000334,0.001241,0.004312,0.000009
39,0.975595,0.001912,0.012044,0.000030,0.003743,0.000256,0.000093,0.006196,0.000000,0.000132
40,0.243451,0.507864,0.023646,0.100772,0.038753,0.029158,0.049022,0.000218,0.001014,0.006102
41,0.675332,0.012476,0.009502,0.000851,0.034131,0.015406,0.100757,0.134480,0.001061,0.016003
42,0.482571,0.458571,0.002865,0.000954,0.019365,0.005292,0.003480,0.001697,0.006377,0.018830
43,0.125776,0.000113,0.161828,0.000290,0.001177,0.008948,0.251574,0.000839,0.000003,0.449452
44,0.359797,0.116366,0.055969,0.008335,0.021677,0.027693,0.014321,0.362767,0.007847,0.025228
45,0.875505,0.060062,0.005613,0.002308,0.007952,0.011580,0.016310,0.007084,0.000518,0.013070
46,0.271103,0.665411,0.039369,0.001641,0.014054,0.001313,0.006277,0.000169,0.000175,0.000486
47,0.324046,0.618652,0.000985,0.010872,0.031133,0.006810,0.004977,0.000009,0.002505,0.000011
48,0.839185,0.112457,0.001026,0.011157,0.010127,0.004298,0.018783,0.000968,0.000006,0.001994
49,0.273840,0.001636,0.007704,0.237504,0.024857,0.103060,0.013334,0.323496,0.000000,0.014568
50,0.678725,0.087717,0.002513,0.020398,0.022153,0.074221,0.033813,0.057715,0.000863,0.021882
51,0.137471,0.747158,0.101699,0.000021,0.001290,0.011913,0.000448,0.000000,0.000000,0.000000
52,0.275177,0.044685,0.511900,0.002892,0.026275,0.101817,0.030912,0.000241,0.006101,0.000000
53,0.281794,0.147562,0.007472,0.355253,0.015797,0.083389,0.086035,0.004253,0.001751,0.016693
54,0.462946,0.046479,0.000199,0.041150,0.075926,0.006626,0.003659,0.359548,0.000023,0.003445
55,0.055072,0.009336,0.866292,0.000096,0.007888,0.059036,0.000096,0.000001,0.002183,0.000000
56,0.054435,0.062112,0.558482,0.016586,0.008777,0.035481,0.024235,0.000760,0.238542,0.000590
57,0.069879,0.109023,0.001098,0.016459,0.255557,0.391492,0.019669,0.014456,0.096849,0.025517
58,0.963677,0.018458,0.007574,0.000026,0.004198,0.000047,0.002161,0.001776,0.000022,0.002060
59,0.002032,0.051145,0.682638,0.001931,0.054005,0.205973,0.000040,0.000000,0.002235,0.000000
60,0.574936,0.314602,0.015382,0.004234,0.030454,0.033111,0.009773,0.016357,0.000250,0.000902
61,0.737862,0.009370,0.000525,0.080817,0.019258,0.027868,0.055901,0.003582,0.000388,0.064428
62,0.917802,0.030643,0.008858,0.001689,0.025816,0.004380,0.006836,0.002276,0.000047,0.001654
63,0.029127,0.208797,0.003180,0.516902,0.031363,0.026768,0.038427,0.024733,0.000583,0.120120
64,0.996267,0.000738,0.001574,0.000001,0.000657,0.000055,0.000050,0.000658,0.000000,0.000001
65,0.303334,0.012397,0.009399,0.096932,0.228368,0.208938,0.107708,0.017172,0.013413,0.002338
66,0.740148,0.253222,0.000098,0.000457,0.001363,0.002632,0.001632,0.000025,0.000010,0.000415
67,0.880910,0.016509,0.004772,0.007556,0.020279,0.024384,0.002952,0.038641,0.001765,0.002232
68,0.073750,0.381245,0.004318,0.453507,0.022017,0.006480,0.040397,0.001756,0.000027,0.016505
69,0.241499,0.642603,0.051365,0.008326,0.028631,0.006585,0.017162,0.000071,0.000022,0.003736
70,0.797591,0.109934,0.030486,0.000355,0.033696,0.000340,0.012527,0.009829,0.000045,0.005197
71,0.974236,0.000448,0.003779,0.000000,0.019131,0.000508,0.000487,0.001407,0.000000,0.000003
72,0.460775,0.032912,0.004163,0.007020,0.174182,0.013843,0.246137,0.056831,0.002792,0.001343
73,0.310979,0.010845,0.006879,0.182092,0.006653,0.087758,0.001237,0.368450,0.000069,0.025038
74,0.110397,0.033307,0.031705,0.104161,0.385628,0.025376,0.236651,0.023220,0.000367,0.049188
75,0.523722,0.003330,0.036485,0.000086,0.003823,0.001349,0.011851,0.418901,0.000343,0.000111
76,0.015963,0.481273,0.478552,0.000010,0.000234,0.015784,0.008156,0.000000,0.000000,0.000028
77,0.517221,0.227259,0.010718,0.001272,0.024669,0.020473,0.046810,0.151428,0.000003,0.000148
78,0.038328,0.121413,0.718198,0.004490,0.002321,0.100539,0.007948,0.000023,0.006661,0.000078
79,0.096277,0.002963,0.072674,0.001726,0.055243,0.199853,0.073431,0.001788,0.490472,0.005572
80,0.422026,0.067908,0.011858,0.006977,0.016474,0.005736,0.009471,0.004526,0.003411,0.451613
81,0.020178,0.023728,0.199798,0.127474,0.001552,0.189862,0.000158,0.000026,0.000177,0.437049
82,0.724250,0.096221,0.000886,0.001327,0.008065,0.000891,0.042790,0.125022,0.000461,0.000089
83,0.923770,0.030455,0.000069,0.000589,0.014806,0.006427,0.015252,0.006777,0.001568,0.000286
84,0.562005,0.364028,0.003943,0.028032,0.014044,0.019541,0.007819,0.000034,0.000046,0.000508
